,front_leg,mid_leg,back_leg,tf,ROI,lookback,std_dev,front_vector,middle_vector,back_vector
134,ETH-28JAN22,ETH-30SEP22,ETH-PERPETUAL,180,0.9941238937746041,20,2,1.0,-0.51,-0.48
135,ETH-28JAN22,ETH-30SEP22,ETH-PERPETUAL,360,0.9969043317156069,20,2,1.0,-0.48,-0.52
136,ETH-28JAN22,ETH-30SEP22,ETH-PERPETUAL,720,0.9993633617736158,20,2,1.0,-0.61,-0.38
137,ETH-28JAN22,ETH-30SEP22,BTC-25MAR22,15,0.9566563227860254,20,2,1.0,-0.96,0.0
138,ETH-28JAN22,ETH-30SEP22,BTC-25MAR22,30,0.9766477944842289,20,2,1.0,-0.95,0.0
139,ETH-28JAN22,ETH-30SEP22,BTC-25MAR22,60,0.9885514403685307,20,2,1.0,-0.95,0.0
140,ETH-28JAN22,ETH-30SEP22,BTC-25MAR22,120,0.9836322523411825,20,2,1.0,-0.96,0.0
141,ETH-28JAN22,ETH-30SEP22,BTC-25MAR22,180,0.9933310509104066,20,2,1.0,-0.95,0.0
142,ETH-28JAN22,ETH-30SEP22,BTC-25MAR22,360,0.9983728303363354,20,2,1.0,-0.97,0.0
143,ETH-28JAN22,ETH-30SEP22,BTC-25MAR22,720,1.0,20,2,1.0,-0.96,0.0
144,ETH-28JAN22,ETH-30SEP22,BTC-28JAN22,15,0.949581693191523,20,2,1.0,-0.95,0.0
145,ETH-28JAN22,ETH-30SEP22,BTC-28JAN22,30,0.9766477944842289,20,2,1.0,-0.95,0.0
146,ETH-28JAN22,ETH-30SEP22,BTC-28JAN22,60,0.9885514403685307,20,2,1.0,-0.95,0.0
147,ETH-28JAN22,ETH-30SEP22,BTC-28JAN22,120,0.9836322523411825,20,2,1.0,-0.96,0.0
148,ETH-28JAN22,ETH-30SEP22,BTC-28JAN22,180,0.9933310509104066,20,2,1.0,-0.95,0.0
149,ETH-28JAN22,ETH-30SEP22,BTC-28JAN22,360,0.9983728303363354,20,2,1.0,-0.97,0.0
150,ETH-28JAN22,ETH-30SEP22,BTC-28JAN22,720,1.0,20,2,1.0,-0.96,0.0
151,ETH-28JAN22,ETH-30SEP22,BTC-24JUN22,15,0.9566563227860254,20,2,1.0,-0.96,0.0
152,ETH-28JAN22,ETH-30SEP22,BTC-24JUN22,30,0.9766477944842289,20,2,1.0,-0.95,0.0
153,ETH-28JAN22,ETH-30SEP22,BTC-24JUN22,60,0.9885514403685307,20,2,1.0,-0.95,0.0
154,ETH-28JAN22,ETH-30SEP22,BTC-24JUN22,120,0.9836322523411825,20,2,1.0,-0.96,0.0
155,ETH-28JAN22,ETH-30SEP22,BTC-24JUN22,180,0.9933310509104066,20,2,1.0,-0.95,0.0
156,ETH-28JAN22,ETH-30SEP22,BTC-24JUN22,360,0.9983728303363354,20,2,1.0,-0.97,0.0
157,ETH-28JAN22,ETH-30SEP22,BTC-24JUN22,720,1.0,20,2,1.0,-0.96,0.0
158,ETH-28JAN22,ETH-30SEP22,BTC-7JAN22,15,0.9705901631994389,20,2,1.0,-0.87,-0.0
159,ETH-28JAN22,ETH-30SEP22,BTC-7JAN22,30,0.9892985091451283,20,2,1.0,-0.9,-0.0
160,ETH-28JAN22,ETH-30SEP22,BTC-7JAN22,60,0.9930475767004233,20,2,1.0,-0.91,-0.0
161,ETH-28JAN22,ETH-30SEP22,BTC-7JAN22,120,1.0,20,2,1.0,-0.16,-0.02
162,ETH-28JAN22,ETH-30SEP22,BTC-7JAN22,180,0.9727559517159785,20,2,1.0,-0.17,-0.01
163,ETH-28JAN22,ETH-30SEP22,BTC-30SEP22,15,0.9566563227860254,20,2,1.0,-0.96,0.0
164,ETH-28JAN22,ETH-30SEP22,BTC-30SEP22,30,0.9766477944842289,20,2,1.0,-0.95,0.0
165,ETH-28JAN22,ETH-30SEP22,BTC-30SEP22,60,0.9885514403685307,20,2,1.0,-0.95,0.0
166,ETH-28JAN22,ETH-30SEP22,BTC-30SEP22,120,0.9836322523411825,20,2,1.0,-0.96,0.0
167,ETH-28JAN22,ETH-30SEP22,BTC-30SEP22,180,0.9933310509104066,20,2,1.0,-0.95,0.0
